gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CancerHR-proficient	CancerHRD	DC	EC	Fibroblast	Mast	Myeloid	T_cell
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.0	0.005	0.01	0.0	0.0	0.041	0.0	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	NODAL_receptor_IbIIa_TDGF1	CPI-CS060B4E81F	0.0	0.0	0.002	0.0	0.014	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS00379F820	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0778FEF01	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC099977BFA	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC0BCF8F0E9	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC065C6CA6D	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CS09DFE4623	0.006	0.002	0.002	0.002	0.001	0.002	0.0	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS036BF2AC7	0.006	0.026	0.01	0.009	0.005	0.032	0.0	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS03DF8BD36	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS027F8BD7E	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS089A36491	0.0	0.005	0.01	0.0	0.0	0.032	0.0	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IbIIb_TDGF1	CPI-CS05AEAC684	0.0	0.0	0.002	0.0	0.014	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IcIIb_TDGF1	CPI-CS02FBABE5A	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.008	0.014	0.013	0.025	0.039	0.06	0.0	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS00379F820	0.006	0.026	0.01	0.012	0.034	0.032	0.0	0.018	0.007
